n_shots,strategy,f1,accuracy
1,random,0.43034059809715625,0.4086081609837898
1,central,0.47965559070095193,0.41727221911682505
1,diverse,0.47965559070095193,0.41727221911682505
3,random,0.47955283592382125,0.4438233650083846
3,central,0.4893581710496536,0.43739519284516487
3,diverse,0.4860595991454632,0.456400223588597
5,random,0.489084703353941,0.45500279485746226
5,central,0.4824388421383569,0.436836221352711
5,diverse,0.507516376741669,0.47400782560089433
10,random,0.5479183400690518,0.5167691447736166
10,central,0.499913031762148,0.4538848518725545
10,diverse,0.5600126846128427,0.5282280603689212
